response_level,coefficient,variable_name,variable_level,reference_level,rel_risk,lower_log_rr_interval,upper_log_rr_interval,lower_rel_risk_interval,upper_rel_risk_interval
High,-0.681490364714874,BFHI_score,1,0,0.505862510642336,-1.91535735577183,0.552376626342085,0.147289188538742,1.73737721153958
Medium,-0.518013290642356,BFHI_score,1,0,0.595702861574025,-2.08841348445531,1.05238690317059,0.123883523125674,2.86448020151551
High,-0.161876192744683,BFHI_score,2,0,0.850546501849727,-1.3325344741855,1.00878208869613,0.263807799233931,2.74225915196429
Medium,-0.471914309949821,BFHI_score,2,0,0.623806964677682,-1.98311523036304,1.03928661046339,0.137639789092989,2.82719940029468
High,0.00933444072475406,BFHI_score,3,0,1.00937814248791,-1.14718833320303,1.16585721465254,0.31752829922532,3.20867222549309
Medium,-0.0167576914728552,BFHI_score,3,0,0.983381937597302,-1.49628760200171,1.462772219056,0.223960047591445,4.31791315278128
High,0.581871592936473,BFHI_score,4,0,1.78938429773517,-0.587079530907452,1.7508227167804,0.55594854670714,5.75933903226453
Medium,0.00908312224497998,BFHI_score,4,0,1.00912449898161,-1.49501400942431,1.51318025391427,0.224245463158687,4.54114986363966
High,1.07855821660627,BFHI_score,5,0,2.94043702012918,-0.143484212746685,2.30060064595922,0.866334477121129,9.98017520678366
Medium,0.0436777864327795,BFHI_score,5,0,1.04464570163623,-1.54674262705012,1.63409819991568,0.212940471885263,5.124834336495
High,0.871590164860571,BFHI_score,6,0,2.39070945468948,-0.528294542773451,2.27147487249459,0.589609666767911,9.69368722882804
Medium,-1.0137215228524,BFHI_score,6,0,0.3628660493576,-3.16027028152556,1.13282723582075,0.0424142757359945,3.10442103493589
High,-0.884728252865327,breast_feeding_attitude,Positive,Negative,0.412826342413207,-1.5896357449014,-0.17982076082925,0.203999906208271,0.835419937969349
Medium,-0.356920350176232,breast_feeding_attitude,Positive,Negative,0.699828236710504,-1.21487670318862,0.501036002836159,0.296746599948112,1.65043023570605
High,0.686260168972997,education,1-3 Years College,High School,1.98627329905613,0.151055344922977,1.22146499302302,1.16306102582348,3.39215357659325
Medium,0.0884753968224487,education,1-3 Years College,High School,1.09250737312694,-0.587122184462325,0.764072978107223,0.555924834031016,2.1470031329274
High,1.71912804876702,education,College Graduate,High School,5.5796611501347,1.12652268557454,2.3117334119595,3.08491062334474,10.0919029273424
Medium,0.645918755902466,education,College Graduate,High School,1.90773897078516,-0.0827416962684303,1.37457920807336,0.92058890806174,3.95341280867173
High,-0.156740457886692,education,Less Than High School,High School,0.854925919305188,-1.54563738497554,1.23215646920216,0.213175952761886,3.42861527311301
Medium,-0.830963657574589,education,Less Than High School,High School,0.435629286524373,-3.09928698711194,1.43735967196276,0.0450813345094063,4.20956649449092
High,-0.46235802116392,maternal_age,18-24,25-29,0.629796818983518,-0.973276530001121,0.0485604876732813,0.37784299378673,1.04975886737135
Medium,-0.602931324922228,maternal_age,18-24,25-29,0.547205246442809,-1.32656718706114,0.120704537216687,0.265386722376217,1.12829149496806
High,-0.466972218398809,maternal_age,30-34,25-29,0.626897506386964,-0.93138584883868,-0.0025585879589381,0.394007297280712,0.99744468243744
Medium,0.145338286327913,maternal_age,30-34,25-29,1.15643070880385,-0.456399893842867,0.747076466498693,0.633560429519012,2.11081993438235
High,-0.290694929798493,maternal_age,35+,25-29,0.747743757564982,-0.86306161077934,0.281671751182355,0.421868505949234,1.32534360610621
Medium,0.609370954849048,maternal_age,35+,25-29,1.83927404838557,-0.07977824311809,1.29852015281619,0.923321076488566,3.6638706850818
High,-0.77301228337618,parity,nullipara,primipara,0.461620440290759,-1.16600721215267,-0.380017354599685,0.311608647902723,0.683849541174342
Medium,-0.221735276049038,parity,nullipara,primipara,0.80112741388035,-0.722945816706822,0.279475264608747,0.485320482938116,1.32243570142589
High,1.40444238558292,perception_of_support,Helpful,Inconclusive,4.07325480229121,0.958389620407607,1.85049515075822,2.60749403538921,6.36296937182137
Medium,0.98458954204588,perception_of_support,Helpful,Inconclusive,2.67671298077575,0.422432778912493,1.54674630517927,1.52566865904995,4.69616540849374
High,-0.994852591997581,perception_of_support,Unhelfpul,Inconclusive,0.369777948755547,-1.50076897011757,-0.488936213877596,0.222958645676152,0.613278444400263
Medium,-1.27725941864378,perception_of_support,Unhelfpul,Inconclusive,0.278800329389008,-2.02309358901969,-0.531425248267875,0.132245717711711,0.587766659007182
