response_level,coefficient,variable_name,variable_level,reference_level,odds_ratio,lower_log_odds_interval,upper_log_odds_interval,lower_odds_ratio_interval,upper_odds_ratio_interval
High,0.682620000075449,BFHI_score,0,1,1.97905607270185,-0.561976972100606,1.9272169722515,0.570080914992819,6.87036319913884
Medium,0.445105267579433,BFHI_score,0,1,1.56065447350472,-0.876764389559943,1.76697492471881,0.416127161162037,5.85312042325894
High,-0.0209049590942307,BFHI_score,2,1,0.979312034849471,-0.664043232951443,0.622233314762982,0.514765803130787,1.86308425262147
Medium,-0.56281246686401,BFHI_score,2,1,0.569604814291143,-1.26396049665517,0.138335562927151,0.282532837375019,1.1483608329498
High,0.382568102726053,BFHI_score,3,1,1.46604471259934,-0.248142947965891,1.013279153418,0.780248400384085,2.7546190396321
Medium,-0.107999223289664,BFHI_score,3,1,0.897628293627338,-0.78244148157809,0.566443034998762,0.457288186602809,1.76198856022531
High,0.928121828516178,BFHI_score,4,1,2.52975340223383,0.264750004608233,1.59149365242412,1.30310516476826,4.91107889765118
Medium,-0.06349691925188,BFHI_score,4,1,0.938477010507496,-0.793543485881729,0.666549647377969,0.452239448599197,1.94750613193776
High,1.59334550097811,BFHI_score,5,1,4.92018189809397,0.797838289138551,2.38885271281767,2.22073514871936,10.9009802111214
Medium,0.0815128683350089,BFHI_score,5,1,1.08492717870057,-0.837493885647511,1.00051962231753,0.432793796203722,2.71969467540406
High,1.91843171442367,BFHI_score,6,1,6.81026964226404,0.69383363707035,3.143029791777,2.00137338435119,23.1739729142939
Medium,0.492066273738471,BFHI_score,6,1,1.6356925190714,-0.902350725137362,1.8864832726143,0.405615048675063,6.59613105008205
High,-0.352669435558668,bmi,Obese,Normal Weight,0.702809478805199,-0.799417850025668,0.0940789789083308,0.449590617115403,1.09864651239296
Medium,0.437165941279631,bmi,Obese,Normal Weight,1.54831298477792,-0.0641863580169028,0.938518240576165,0.937830211066294,2.55619095071191
High,-0.10338293534149,bmi,Overweight,Normal Weight,0.90178158331613,-0.557220601579284,0.350454730896303,0.572798889775152,1.41971298919131
Medium,0.0278629716109528,bmi,Overweight,Normal Weight,1.02825477467202,-0.517773503481337,0.573499446703243,0.595845720599208,1.77446584758978
High,-0.271175956658322,bmi,Underweight,Normal Weight,0.762482320759672,-1.25108739786443,0.708735484547783,0.286193421481079,2.03142087076062
Medium,-0.770022041921195,bmi,Underweight,Normal Weight,0.46300286272614,-2.15498976986656,0.614945686024167,0.11590437632405,1.84955614008268
High,-0.992581686520747,breast_feeding_attitude,Positive,Negative,0.370618633721349,-1.65309811688055,-0.332065256160939,0.191455836284888,0.71744050391386
Medium,-0.848119230721994,breast_feeding_attitude,Positive,Negative,0.42821955724178,-1.65302308093064,-0.0432153805133446,0.191470202894429,0.957705096836668
High,0.524136621369255,education,1-3 Years College,High School,1.68899997220513,0.00999622201086792,1.03827702072764,1.01004635113282,2.82434652915625
Medium,0.0103817386784275,education,1-3 Years College,High School,1.01043581590395,-0.576884003128056,0.597647480484911,0.561645729098495,1.81783726852204
High,1.5184428139937,education,College Graduate,High School,4.56511093060479,0.96468009920498,2.07220552878242,2.62394811910801,7.94232083209473
Medium,0.882871466122239,education,College Graduate,High School,2.41783247208561,0.263996249276044,1.50174668296843,1.30212331238663,4.48952400088494
High,-0.495438234214483,education,Less Than High School,High School,0.60930383099384,-1.778052365723,0.787175897294038,0.168966912758168,2.1971825868365
Medium,0.0428556843489025,education,Less Than High School,High School,1.04378724914414,-1.2800823393998,1.36579370809761,0.278014407971242,3.91883222681246
High,-0.564282539420933,parity,nullipara,primipara,0.568768069074144,-0.940668098930123,-0.187896979911743,0.390366944479804,0.828700075590204
Medium,-0.0782160710659188,parity,nullipara,primipara,0.924764590084175,-0.508732199888383,0.352300057756546,0.601257369971531,1.42233524241714
High,1.42967928814952,perception_of_support,Helpful,Inconclusive,4.17735924845218,0.963842968531846,1.8955156077672,2.62175245081165,6.65597939470853
Medium,0.978890104704079,perception_of_support,Helpful,Inconclusive,2.66150061500194,0.431000423278161,1.52677978613,1.53879620129555,4.60332922429352
High,-1.12683258755321,perception_of_support,Unhelpful,Inconclusive,0.324058058107402,-1.61633023985878,-0.637334935247641,0.198626274037766,0.528699566726875
Medium,-0.872451141405155,perception_of_support,Unhelpful,Inconclusive,0.417925897281044,-1.46436172753593,-0.28054055527438,0.231225529275991,0.755375308968104
