response_level,coefficient,variable_name,variable_level,reference_level,odds_ratio,lower_log_odds_interval,upper_log_odds_interval,lower_odds_ratio_interval,upper_odds_ratio_interval
High,0.105427778563915,BFHI_score,1,0,1.11118585018699,-1.28742829289734,1.49828385002517,0.275979609974683,4.47400441564884
Medium,-0.614709674398028,BFHI_score,1,0,0.540797879989931,-1.97661043660528,0.747191087809223,0.13853802578892,2.11106189319607
High,0.188457308590491,BFHI_score,2,0,1.20738553689594,-1.13534241721848,1.51225703439946,0.321312079706795,4.53695932015929
Medium,-0.367417772979439,BFHI_score,2,0,0.692520268345889,-1.63470205459124,0.899866508632359,0.195010465117102,2.45927479728781
High,0.780080723345953,BFHI_score,3,0,2.18164836834629,-0.529048479214082,2.08920992590599,0.589165306085291,8.07853000498809
Medium,0.121218809814866,BFHI_score,3,0,1.12887189359544,-1.12327249123098,1.36571011086071,0.325213792049663,3.91850463695943
High,0.839995541651345,BFHI_score,4,0,2.31635664963252,-0.471247670575174,2.15123875387786,0.624222957605743,8.59549951330951
Medium,0.205775532808831,BFHI_score,4,0,1.22847742016834,-1.04089976147194,1.4524508270896,0.353136800084254,4.2735754854872
High,1.51798417335925,BFHI_score,5,0,4.56301766529623,0.176014729335221,2.85995361738329,1.19245562259992,17.4607170440515
Medium,0.589909707499936,BFHI_score,5,0,1.80382553612724,-0.703008860050525,1.8828282750504,0.495093393709028,6.57206621241451
High,1.49165052490018,BFHI_score,6,0,4.44442510280861,0.0350999486768657,2.9482011011235,1.03572322279221,19.0716149447951
Medium,0.611225783492946,BFHI_score,6,0,1.84268875244094,-0.856236831945026,2.07868839893092,0.424757512400967,7.99397712633517
High,-0.405804016697434,bmi,Obese,Normal Weight,0.666440765889173,-0.856883584011951,0.0452755506170827,0.424482888418267,1.04631613324612
Medium,-0.408108717487252,bmi,Obese,Normal Weight,0.664906587919335,-0.898592620403847,0.0823751854293428,0.407142260422878,1.08586313343976
High,-0.17872543981539,bmi,Overweight,Normal Weight,0.83633549230422,-0.607698133549993,0.250247253919213,0.544603030812261,1.28434293625675
Medium,-0.556346958472416,bmi,Overweight,Normal Weight,0.573299530235526,-1.05101395632327,-0.0616799606215626,0.349583107343709,0.940183734464965
High,1.03219551442414,bmi,Underweight,Normal Weight,2.80722237105129,-0.084617084488543,2.14900811333683,0.91886406434932,8.57634741229249
Medium,-0.504774688371847,bmi,Underweight,Normal Weight,0.60364156757057,-2.12686000455139,1.1173106278077,0.119211028870287,3.05662274331631
High,0.0502569459801912,education,1-3 Years College,High School,1.05154125096441,-0.540768162576346,0.641282054536728,0.582300778863291,1.89891383047488
Medium,0.475787516933146,education,1-3 Years College,High School,1.60928103465743,-0.211525421881254,1.16310045574755,0.809348705624506,3.19983887107075
High,0.853067902280212,education,College Graduate,High School,2.34683568151279,0.25219545947155,1.45394034508887,1.28684753924481,4.27994579626255
Medium,0.794822126429276,education,College Graduate,High School,2.21404714130609,0.0819823438287761,1.50766190902978,1.0854366450051,4.51615924935226
High,-0.847703560974284,education,Less Than High School,High School,0.428397592156403,-2.70959029680684,1.01418317485827,0.0665640726422782,2.75711040025575
Medium,0.116781734781971,education,Less Than High School,High School,1.12387410029254,-1.68391471783219,1.91747818739613,0.185645800742304,6.80377896110706
High,-0.688100984026245,maternal_age,18-24,25-29,0.502529475013307,-1.28013371578502,-0.0960682522674667,0.278000124962829,0.908402013455631
Medium,-0.0840990964165266,maternal_age,18-24,25-29,0.919340148266707,-0.707663915950484,0.539465723117431,0.492794062196095,1.71509028426306
High,-0.217905602716211,maternal_age,30-34,25-29,0.804201352506911,-0.652514211361923,0.216703005929501,0.520734891948921,1.24197518809126
Medium,0.354934788600988,maternal_age,30-34,25-29,1.42608765407814,-0.146488219785216,0.856357796987192,0.863735907269335,2.35456923811774
High,-0.115934478015892,maternal_age,35+,25-29,0.890533570912407,-0.626072312970609,0.394203356938824,0.534687768373099,1.48320213745496
Medium,0.459086801765834,maternal_age,35+,25-29,1.5826280717318,-0.121154755061753,1.03932835859342,0.885896851962067,2.82731743304666
High,-0.7853137430144,parity,nullipara,primipara,0.455976619862125,-1.17366441357456,-0.396963072454234,0.309231709682145,0.672358853736577
Medium,-0.0686012523648832,parity,nullipara,primipara,0.933698916093858,-0.488801935442972,0.351599430713205,0.613360799998932,1.42133906489682
High,0.64115451303001,perception_of_support,Helpful,Inconclusive,1.89867165558782,0.191901336888819,1.0904076891712,1.21155097567922,2.97548689910596
Medium,0.700211405365796,perception_of_support,Helpful,Inconclusive,2.01417847060094,0.169609027243989,1.2308137834876,1.1848415199968,3.42401480954459
High,-1.13155167578285,perception_of_support,Unhelfpul,Inconclusive,0.322532402223365,-1.76298600653073,-0.500117345034975,0.171531902969467,0.606459490526913
Medium,-0.550073379004137,perception_of_support,Unhelfpul,Inconclusive,0.576907475931213,-1.23804355051741,0.137896792509132,0.289950937741071,1.14785707671184
High,-1.43306180410609,race_eth,"Black, Non-Hispanic","White, Non-Hispanic",0.238577325777077,-2.61504185606854,-0.251081752143632,0.0731647262440952,0.777958769162141
Medium,-0.338676460969865,race_eth,"Black, Non-Hispanic","White, Non-Hispanic",0.712713002264222,-1.29189946974453,0.614546547804805,0.274748410837922,1.84881805884633
High,-0.324765530956945,race_eth,Hispanic,"White, Non-Hispanic",0.722696783801549,-1.08160512868945,0.432074066775558,0.339050868363372,1.54044920704154
Medium,-1.02525392890228,race_eth,Hispanic,"White, Non-Hispanic",0.358705368179949,-2.06082736425473,0.0103195064501758,0.127348562647114,1.01037293618821
High,-0.727753682857679,race_eth,Other,"White, Non-Hispanic",0.482992727268675,-1.52660735567279,0.0710999899574291,0.217271543396441,1.07368857857644
Medium,-1.12993815659465,race_eth,Other,"White, Non-Hispanic",0.32305323451662,-2.1614439509255,-0.0984323622638092,0.115158717391069,0.906256987712372
