response_level,coefficient,variable_name,variable_level,reference_level,rel_risk,lower_log_rr_interval,upper_log_rr_interval,lower_rel_risk_interval,upper_rel_risk_interval
High,-0.682795389876662,BFHI_score,1,0,0.505202777915079,-1.92741399690984,0.56182321715652,0.145524037924962,1.75386726792668
Medium,-0.445206803497442,BFHI_score,1,0,0.640691765033131,-1.7670946439911,0.876681036996216,0.170828586393078,2.40291128345895
High,-0.703669231494628,BFHI_score,2,0,0.494766556098648,-1.88836635420653,0.481027891217276,0.151318808361323,1.61773640491004
Medium,-1.00803764057463,BFHI_score,2,0,0.364934409855081,-2.28958533418941,0.27351005304016,0.101308462300846,1.31457057457641
High,-0.300199935387801,BFHI_score,3,0,0.740670119709282,-1.4788881582878,0.878488287512199,0.227890926215131,2.40725787262055
Medium,-0.553218177185157,BFHI_score,3,0,0.57509606809918,-1.82168195792424,0.715245603553924,0.161753459493732,2.04468880343145
High,0.245393461255733,BFHI_score,4,0,1.27812410659951,-0.949054299082499,1.43984122159397,0.387106937790708,4.22002571484266
Medium,-0.508678040615666,BFHI_score,4,0,0.601289934515233,-1.80706639168567,0.789710310454336,0.164134938836708,2.20275821779192
High,0.910688344398815,BFHI_score,5,0,2.48603319157897,-0.35538202113835,2.17675870993598,0.700905631289781,8.81767923345036
Medium,-0.363607722604222,BFHI_score,5,0,0.695163838323594,-1.77068924205521,1.04347379684677,0.170215628615563,2.83906222973352
High,1.23565523444761,BFHI_score,6,0,3.44063220302031,-0.335227427761956,2.80653789665717,0.715175417110991,16.5525123951838
Medium,0.046849171801466,BFHI_score,6,0,1.04796393464652,-1.70646922934973,1.80016757295267,0.181505516944687,6.05066130664504
High,-0.352621601875877,bmi,Obese,Normal Weight,0.702843097574919,-0.799373330679044,0.0941301269272909,0.44961063304147,1.09870270742272
Medium,0.437223885982242,bmi,Obese,Normal Weight,1.54840270391272,-0.0641290562296346,0.938576828194117,0.937883951953252,2.5563407162379
High,-0.103346825263167,bmi,Overweight,Normal Weight,0.901814147307674,-0.557186887483062,0.350493236956728,0.572818201497574,1.41976765779799
Medium,0.0278918577759768,bmi,Overweight,Normal Weight,1.02828447743813,-0.517743795252167,0.573527510804121,0.595863422383368,1.77451564707711
High,-0.270877496597497,bmi,Underweight,Normal Weight,0.762709925243239,-1.25081038132625,0.709055388131255,0.28627271277394,2.03207083353388
Medium,-0.770041635513035,bmi,Underweight,Normal Weight,0.462993790925902,-2.15509164967921,0.615008378653136,0.115892568609399,1.84967209725432
High,-0.992529760417131,breast_feeding_attitude,Positive,Negative,0.370637879002588,-1.65305238498903,-0.332007135845227,0.191464592122633,0.717482202994222
Medium,-0.848054043429598,breast_feeding_attitude,Positive,Negative,0.428247472625121,-1.65295168850402,-0.0431563983551811,0.191483872904803,0.957761586016074
High,0.524025949662982,education,1-3 Years College,High School,1.68881305803955,0.00988292282838055,1.03816897649758,1.00993192018955,2.82404139129458
Medium,0.0103788381034365,education,1-3 Years College,High School,1.01043288506334,-0.576894489792692,0.597652165999565,0.561639839338971,1.81784578604516
High,1.5183682315784,education,College Graduate,High School,4.56477046630197,0.964601598162551,2.07213486499425,2.62374214453009,7.94175961744694
Medium,0.882902201511977,education,College Graduate,High School,2.41790678625099,0.264018624366274,1.50178577865768,1.30215244783919,4.48969952535125
High,-0.495914153246437,education,Less Than High School,High School,0.609013920696814,-1.77857456844653,0.786746261953653,0.168878700810405,2.19623880230403
Medium,0.0431304361504204,education,Less Than High School,High School,1.04407407097185,-1.27971839357767,1.36597926587851,0.278115608568164,3.9195594640944
High,-0.564283147388193,parity,nullipara,primipara,0.568767723281885,-0.940670787701491,-0.187895507074894,0.390365894873752,0.82870129613111
Medium,-0.0782226981348356,parity,nullipara,primipara,0.924758461625811,-0.50873899227875,0.352293596009078,0.601253286010634,1.42232605167569
High,1.42966410779142,perception_of_support,Helpful,Inconclusive,4.1772958351242,0.96382362451647,1.89550459106638,2.62170173608245,6.65590606817877
Medium,0.978866531510889,perception_of_support,Helpful,Inconclusive,2.66143787567325,0.43097606621107,1.52675699681071,1.53875872118969,4.6032243187494
High,-1.12689617313387,perception_of_support,Unhelfpul,Inconclusive,0.324037453342701,-1.61639770183956,-0.637394644428167,0.198612874767859,0.528667999451439
Medium,-0.872520236791361,perception_of_support,Unhelfpul,Inconclusive,0.417897021527367,-1.46443128610894,-0.280609187473782,0.231209446117499,0.755323467678287
